,created_at,location,user,text
0,Mon Nov 01 23:48:48 +0000 2021,"Magelang, Jawa Tengah",Fernandiangesti,"Investasi pakai @ajaib_investasi jdi menyenangkan. Dengan tampilan yg simpel tapi punya fitur yg beragam, membuat k… https://t.co/RicJeDz8lO"
0,Mon Nov 01 23:42:32 +0000 2021,Jakarta,parahitairawan,"Mitos-mitos valuasi saham.
https://t.co/JExmlS9day"
0,Mon Nov 01 23:02:03 +0000 2021,"DKI Jakarta, Indonesia",pantau_com,"Menteri BUMN Erick Thohir menceritakan kecintaannya kepada klub Liga Italia Inter Milan, yang sempat ia miliki saha… https://t.co/7eT9aqwysI"
0,Mon Nov 01 23:00:04 +0000 2021,"Jakarta, Indonesia",KontanNews,"Wall Street cetak rekor tertinggi lagi, saham Tesla jadi pendorong utama https://t.co/ybFwIcekl7 #WallStreet"
0,Mon Nov 01 22:50:05 +0000 2021,"Jakarta, Indonesia",IDXchart,"Dan menurut pengalaman saya, modal trading (portofolio investasi) yang ideal untuk dapat menggunakan analisis tekni… https://t.co/zNZhoqmMIu"
0,Mon Nov 01 22:10:04 +0000 2021,"Jakarta, Indonesia",Bisniscom,"Resep Adhi Karya (ADHI) Torehkan Laba, Harga Saham Menuju Rp1.170 https://t.co/o4OxuFkENI"
0,Mon Nov 01 22:06:38 +0000 2021,jakarta selatan,saptaipb,"Gak mesti tiap hari harus beli saham,
Kalo gak ada signal,
Yawda diam dulu,
Jgn di paksakan harus buy"
0,Mon Nov 01 21:51:57 +0000 2021,Yogyakarta,terimacakihh,"@jogmfs Wihhh gak wajar mba
Seharusnya umur 24 dah punya showroom, punya mall, punya villa di kaliurang sama nilai saham milyaran"
0,Mon Nov 01 20:16:01 +0000 2021,Bandung,jericoy,"@jokoanwar Sdh dijawab oleh staf khususnya, korporasi yg tdk profit oriented, korporasi sosial, tdk bagi dividen ke pmgang saham,..menarik!!"
0,Mon Nov 01 19:54:49 +0000 2021,"Jakarta, Indonesia",InvestorID,"Cermati Saham ASRI, TLKM, EXCL, BBNI, BBCA, INDF, ITMG, HMSP, dan UNVR https://t.co/nTTEi8vnon https://t.co/pTdz2sjeR3"
0,Mon Nov 01 19:40:33 +0000 2021,"Jakarta, Indonesia",pusatforex_com,Analisa Saham dan IHSG Hari Ini : https://t.co/VjrneEc1sW
0,Mon Nov 01 19:01:18 +0000 2021,"Jakarta Selatan, DKI Jakarta",htm_007,"@wawkurniawan @Ronnie_Rusli BUMN itu lembaga bisnis. Tidak terkait dgn Bendahara negara, kecuali saham saja sebagia… https://t.co/ef46Qf24RV"
0,Mon Nov 01 18:40:34 +0000 2021,"Jakarta, Indonesia",pusatforex_com,Analisa Indeks Saham Hari Ini : https://t.co/lnFLjBd6zo
0,Mon Nov 01 17:16:31 +0000 2021,Indonesia,Otak_Bisnis,"Berikut Review saham2 ""TERSERAM"" selama Bulan Oktober 2021 adakah yang punya kalian?? #Saham #IHSG #oktober… https://t.co/npdJT3Ed8q"
0,Mon Nov 01 17:12:01 +0000 2021,Brebes - Jakarta,dybaleee,@profesor_saham njiiir sekali kedip wkwk
0,Mon Nov 01 17:06:07 +0000 2021,Semarang Indonesia,nunaabobo,mentahan aja atau saham jg boleh https://t.co/wP8GBtJv8a
0,Mon Nov 01 17:03:39 +0000 2021,"Jakarta Utara, DKI Jakarta",qhrtlain,"download aplikasi ajaib, gunakan kode referal : QHUR515 untuk dapetin saham gratis!🥰 Happy Cuan💸 #referalajaib#ajai… https://t.co/MWyeThpURb"
0,Mon Nov 01 17:03:03 +0000 2021,"Jakarta Utara, DKI Jakarta",qhrtlain,"kode referal ajaib : QHUR515
pakai untuk dapatkan saham gratis!🥰 
Happy Cuan😍✨"
0,Mon Nov 01 17:02:10 +0000 2021,"Jawa Barat, Indonesia",Prakacitaaa,"Cara ngitung budget undangan udh kaya ngitung saham, harga selembar saham x berapa lot (ratus) tamu 😅😅
Undangan Per… https://t.co/ZDs6a3VSpE"
0,Mon Nov 01 17:01:58 +0000 2021,Indonesia,Otak_Bisnis,Saham TESLA $TSLA terus mencatatkan All Time High nya.. berikut gambaran persaingan dengan kompetitor nya https://t.co/d6752uvMHN
0,Mon Nov 01 16:47:40 +0000 2021,"Kota Semarang, Jawa Tengah",gIaukoma,@balonkuada99 @collegemenfess Jumlah lembar saham perusahaan bersangkutan dibagi total jumlah saham. Contoh perusah… https://t.co/CeRKO6c4YT
0,Mon Nov 01 16:47:39 +0000 2021,Semarang - Jakarta,favophs,@sweetsakarin @undipmenfess maunya saham apa eca?
0,Mon Nov 01 16:37:06 +0000 2021,"Jakarta, Indonesia",Askrlfess,"[Askrl] kalau mau belajar tentang saham, dimana ya guys?"
0,Mon Nov 01 16:23:26 +0000 2021,"Jakarta Selatan, DKI Jakarta",meraahmaruun,"@bentarabumi @NitaSellya salah saham, ku pikir tadi loula, sama-sama calico sih yaaa…
maapin ya neng, belum pernah… https://t.co/aonMFJvsdD"
0,Mon Nov 01 16:14:28 +0000 2021,"Surakarta, Jawa Tengah",PencopetIHSG,"@tradingforlyf Saham bagus iniii, masih hold di 750 ehee"
0,Mon Nov 01 16:13:25 +0000 2021,"Jakarta Selatan, DKI Jakarta",FaizRadli,@asumsico Dibawah 10persen kalo cuan saham milyaran atau triliunan mah.. yaaa... itung sndiri😂😂
0,Mon Nov 01 16:01:19 +0000 2021,"Jakarta, Indonesia",detikfinance,"Dengan harga IPO berkisar Rp 775-975 per saham, perseroan berpotensi meraih dana hingga Rp 24,9 triliun atau terbes… https://t.co/iUtj8ppWHk"
0,Mon Nov 01 15:58:50 +0000 2021,"Jakarta Selatan, DKI Jakarta",Hensofyet,@__HardjoKondang @Dennysiregar7 Sdh ketemu belum para pemegang saham.perusahaan itu 😅🤣
0,Mon Nov 01 15:57:56 +0000 2021,Jakarta,dimasasta,@profesor_saham Belom juga kelar ngomong itu😂
0,Mon Nov 01 15:53:58 +0000 2021,Bandung,Martabak_LEGIT,"Investasi Kuliner Martabak LEGIT Group Khas Bandung, invest 25Jt/saham, bagi hasil 500rb/bln, kontrak 3 th, JOIN No… https://t.co/3kW50HhkuW"
0,Mon Nov 01 15:31:52 +0000 2021,"Jawa Barat, Indonesia",Prakacitaaa,Sebuah trik marketing wkwk beli sampo dapet voucher  gratis chatime. Besok beli kumkum gratis 1 lot saham Buka aja… https://t.co/YR5Jh8LfqH
0,Mon Nov 01 15:13:16 +0000 2021,"Central Java, Indonesia",the_luckyloser,@undipmenfess Saham freeport 3%
0,Mon Nov 01 15:10:00 +0000 2021,"Jakarta, Indonesia",inewsdotid,"Elon Musk Tantang Pembuktian PBB, Siap Jual Saham Tesla untuk Atasi Kelaparan Dunia
https://t.co/6jUR6HTGQk"
0,Mon Nov 01 15:09:25 +0000 2021,"Jawa Tengah, Indonesia",RudiYahya12,@ismailfahmi Bang  coba si  MD punya saham  spt Unilever etc.
0,Mon Nov 01 15:09:06 +0000 2021,"Bandung, Jawa Barat",Envy637495,"@cookies_taro69 engga, mending saham sih kl aku wkwkwk"
